index,train_loss,train_acc,train_precision,train_recall,train_f1-score,val_loss,val_acc,val_precision,val_recall,val_f1-score
1,2.239866887700969,34.482757568359375,38.70205256189386,34.20503738685557,33.509791857063036,2.0425939651635976,67.30769348144531,64.69696969696969,68.63636363636364,64.35196117014299
2,1.9524824516526584,54.31034469604492,60.61181912001382,54.13803102798318,51.836575676834016,1.811802368897658,75.0,77.81385281385282,74.69696969696969,73.13262495080677
3,1.6899778226326252,66.37931060791016,70.64104500151012,66.49754551668428,66.02275285202728,1.550027228318728,84.6153793334961,87.07792207792208,83.78787878787878,84.14141414141415
4,1.560118097683479,69.82758331298828,69.77809456002177,69.87406532861078,69.0231711022172,1.4331192144980798,88.46153259277344,92.62626262626263,89.0909090909091,89.45493900039355
5,1.3911368045313606,74.13793182373047,77.58416384566353,74.3388429752066,74.42477625078617,1.2180676322716932,84.6153793334961,86.41774891774891,83.78787878787878,83.76068376068376
6,1.2509465998616711,81.46551513671875,82.56310196980053,81.47186147186149,81.34040103318408,1.0796050933691173,90.38461303710938,93.25757575757576,89.24242424242424,90.12038466583921
7,1.1903368820404183,79.31034088134766,80.6798453885545,79.34060357505335,79.43883828717675,1.0422368003771856,88.46153259277344,92.32323232323232,89.0909090909091,89.72582972582973
8,1.0582702478458141,84.9137954711914,85.82331745729793,84.73446011723523,84.6171365989364,0.9017919508310465,90.38461303710938,93.07359307359307,89.69696969696969,90.21579430670339
9,1.070630552439854,84.48275756835938,85.7647056731725,84.343192692475,84.41575327774405,0.902655670276055,90.38461303710938,93.07359307359307,89.69696969696969,90.21579430670339
10,1.0129639968789856,81.03448486328125,81.03458534392588,81.22786304604486,80.93464686382777,0.8577884206405053,94.23076629638672,95.15151515151516,94.54545454545455,94.50872359963269
11,0.9959503792483231,81.89655303955078,82.5452278330128,81.80834317197953,81.74926926391082,0.7192821090038006,92.30769348144531,92.42424242424244,92.27272727272727,91.49285058375966
12,0.9699341562287561,79.31034088134766,79.73137973137973,79.39000393545848,79.15789981034968,0.7918865657769717,88.46153259277344,93.63636363636364,87.42424242424242,89.00432900432901
13,0.9129444252828072,81.03448486328125,81.27581350069387,80.95041322314049,80.90869395875553,0.7557726525343381,88.46153259277344,93.36219336219337,87.42424242424242,88.47763347763349
14,0.8678427318046833,81.46551513671875,82.39363601029798,81.70902462768491,81.8340837041603,0.7004482299089432,90.38461303710938,91.81818181818181,89.69696969696969,90.2295684113866
15,0.8024367561628079,83.62068939208984,84.0539894887721,83.78591105863835,83.70569070618664,0.7402359247207642,94.23076629638672,95.15151515151516,93.33333333333334,93.70064279155189
16,0.8329499620815803,82.75862121582031,82.97134019622058,82.81944530748359,82.5964427798236,0.6857871482005486,92.30769348144531,91.66666666666667,92.72727272727273,91.49285058375966
17,0.7287189092101722,86.63793182373047,87.72725921883399,86.74340810704447,86.94249649270238,0.6718603418423579,90.38461303710938,92.85714285714286,90.9090909090909,90.88613406795226
18,0.7422370281198929,86.63793182373047,87.0168549292743,86.67847304210942,86.71883408094816,0.5369160347259961,90.38461303710938,92.55411255411255,90.9090909090909,91.15702479338843
19,0.6624638646327216,88.79309844970703,89.0305343247927,88.82526564344747,88.7970817241823,0.6032916685709586,88.46153259277344,90.71428571428572,88.63636363636364,88.58585858585859
20,0.7201237922598576,87.9310302734375,88.32114872160639,88.08146399055488,88.1029398314658,0.6283267186238215,96.15384674072266,97.40259740259741,96.36363636363636,96.46464646464646
21,0.6848722503616892,89.6551742553711,89.8496927280472,89.573727707699,89.61602692880675,0.5435767443134234,94.23076629638672,95.15151515151516,94.54545454545455,94.50872359963269
22,0.6435398486410749,86.63793182373047,87.09983162658183,86.63725429275668,86.72618466446318,0.6262116271715897,90.38461303710938,91.51515151515152,89.69696969696969,89.86225895316805
23,0.5775731491117642,89.22413635253906,89.67955957086393,89.07951697425382,89.15631868814333,0.5222382190135809,94.23076629638672,95.15151515151516,94.54545454545455,94.3067033976125
24,0.6745212173153614,87.06896209716797,88.11302681992338,87.0405352223534,87.25158692140079,0.49878085232698,94.23076629638672,95.15151515151516,94.54545454545455,94.50872359963269
25,0.6064294484154932,89.22413635253906,89.93729945597015,89.338532281116,89.45002650472823,0.5816397059422272,90.38461303710938,92.55411255411255,90.45454545454545,90.43224452315361
26,0.6091401620671667,87.06896209716797,87.48790844640646,87.19992129083037,87.15887463115845,0.4743276983499527,94.23076629638672,95.45454545454545,94.54545454545455,94.23783287419651
27,0.509194014658188,90.0862045288086,90.6812936041145,90.16922471467926,90.22991355184753,0.4589363313638247,98.07691955566406,98.4848484848485,98.18181818181819,98.16345270890724
28,0.6641494674158508,86.20689392089844,87.04913163891491,86.27187804221298,86.29710143241854,0.5411069335845801,88.46153259277344,91.43939393939394,89.0909090909091,88.94433848979304
29,0.6519042936892345,85.77586364746094,85.96002818548983,85.7733175914994,85.63466036732949,0.5665422677993774,84.6153793334961,86.94805194805195,85.45454545454545,85.2295684113866
30,0.5673588889426199,89.22413635253906,89.58944899032272,89.1578118850846,89.22897964931582,0.5527106317190024,86.53845977783203,88.76623376623377,86.81818181818181,86.5426997245179
31,0.6223258581654779,87.9310302734375,88.65260084668604,87.87485242030696,87.93317042517586,0.46130970693551576,96.15384674072266,96.96969696969698,96.36363636363636,96.3269054178145
32,0.564191252763929,87.5,87.6435339156371,87.56332981213363,87.50976704190258,0.411251931809462,98.07691955566406,98.4848484848485,98.18181818181819,98.16345270890724
33,0.5526480813478601,92.24137878417969,92.62389645580825,92.21172766627312,92.23046360699121,0.37782451338492906,96.15384674072266,96.66666666666669,96.36363636363636,95.89072543617998
34,0.579341389495751,87.5,87.94792093385445,87.23575467594607,87.21798910726953,0.6324367064696091,88.46153259277344,90.73593073593074,89.0909090909091,89.08631772268136
35,0.5606444837718174,88.36206817626953,88.8117909758226,88.41204250295159,88.38638826148889,0.46273468090937686,94.23076629638672,95.45454545454545,94.54545454545455,94.23783287419651
36,0.609623226626166,84.48275756835938,85.38185840871262,84.47264856355766,84.42944570996147,0.528950436757161,92.30769348144531,92.42424242424244,92.27272727272727,92.03397612488521
37,0.5131368544594995,90.0862045288086,90.40030757214032,90.14302284637213,90.16855134185802,0.5053737060381815,96.15384674072266,96.96969696969698,96.36363636363636,96.3269054178145
38,0.5842237338937563,85.77586364746094,86.73308857219577,85.68870523415978,85.77620628026087,0.407260513649537,96.15384674072266,96.96969696969698,96.36363636363636,96.3269054178145
39,0.5416130264257563,90.0862045288086,90.4557243969131,90.06887052341598,90.06546853427955,0.48551018879963803,88.46153259277344,91.03896103896103,87.42424242424242,88.22379640561459
40,0.6598690211901377,84.48275756835938,84.67790060215323,84.6058327637275,84.38950603532852,0.39531571704607743,94.23076629638672,95.15151515151516,94.54545454545455,94.3067033976125
41,0.5244192902384133,88.79309844970703,89.47244718775818,88.90791027154664,88.8784901163893,0.45857641043571323,92.30769348144531,92.57575757575758,92.72727272727273,92.3048668503214
